Unnamed: 0,Left_Hip_q,Right_Hip_q,Left_Hip_qd,Right_Hip_qd,SampleTimeFine
lift,-41.97240067,-43.95261765,14.93586636,8.023046494,2093671940
lift,-42.11597443,-44.0058136,21.80256081,10.03682899,2093688607
lift,-42.32157898,-44.11455154,25.47398567,13.08855629,2093705274
lift,-42.60501099,-44.31486893,30.15958214,18.6815815,2093721941
lift,-43.07770538,-44.61517715,40.72781372,24.97498894,2093738608
lift,-43.58817673,-44.99136353,42.41474915,29.75297737,2093755275
lift,-44.12504578,-45.46359253,44.97805023,35.09608078,2093771942
lift,-44.70866394,-45.98511124,48.89073181,38.3653183,2093788609
lift,-45.45378113,-46.63251114,58.61727142,46.36121368,2093805276
lift,-46.18392181,-47.35797119,55.00029755,50.90291977,2093821943
lift,-47.01888275,-48.08559799,59.68914795,51.74755859,2093838610
lift,-47.83782959,-48.87170792,56.26509094,56.02633667,2093855277
lift,-48.82732391,-49.64876556,65.44400024,56.44630814,2093871944
lift,-49.78050995,-50.55031967,61.9355278,64.25512695,2093888611
lift,-50.84288788,-51.70820236,65.07843781,78.16431427,2093905278
lift,-52.00721741,-52.92661285,67.30181885,80.481987,2093921945
lift,-53.25860214,-54.21172714,70.02046967,83.87250519,2093938612
lift,-54.5350647,-55.54598618,71.55498505,86.18190002,2093955279
lift,-55.99097061,-56.92571259,80.75481415,88.29832458,2093971946
lift,-57.38447571,-58.23590088,74.76477051,83.67848969,2093988613
lift,-58.79758072,-59.63735199,74.81774139,87.69789886,2094005280
lift,-60.25851822,-61.10876846,81.2773056,89.77351379,2094021947
lift,-61.81798553,-62.47887802,87.83657837,82.49129486,2094038614
lift,-63.51370621,-63.70379639,94.86282349,72.67261505,2094055281
lift,-65.2682724,-65.15039063,101.7385712,85.46659851,2094071948
lift,-66.96851349,-66.69955444,100.4009628,88.77812195,2094088615
lift,-68.56593323,-68.2345047,93.33807373,88.73555756,2094105282
lift,-70.1290741,-69.70124817,90.54853821,86.7252655,2094121949
lift,-71.59231567,-71.30347443,89.48686218,95.27959442,2094138616
lift,-72.90881348,-72.86065674,81.24767303,91.23522949,2094155283
lift,-74.09075928,-74.3514328,61.11813354,86.67420959,2094171950
lift,-75.18598938,-75.77229309,68.82662201,75.96220398,2094188617
